Name	Type	Cat.	Power	Acc.	PP	Effect
Aeroblast	FLYING	Special	100	95	5	High critical hit ratio.
Ancient Power	ROCK	Special	60	100	5	May raise all user's stats at once.
Attract	NORMAL	Status	-	100	15	"If opponent is the opposite gender, it's less likely to attack."
Baton Pass	NORMAL	Status	-	-	40	User switches out and gives stat changes to the incoming Pokemon.
Beat Up	DARK	Physical	-	100	30	Each Pokemon in your party attacks.
Belly Drum	NORMAL	Status	-	-	10	"User loses 50% of its max HP, but Attack raises to maximum."
Bone Rush	GROUND	Physical	25	90	10	Hits 2-5 times in one turn.
Charm	FAIRY	Status	-	100	20	Sharply lowers opponent's Attack.
Conversion 2	NORMAL	Status	-	-	30	User changes type to become resistant to opponent's last move.
Cotton Spore	GRASS	Status	-	100	40	Sharply lowers opponent's Speed.
Cross Chop	FIGHTING	Physical	100	80	5	High critical hit ratio.
Crunch	DARK	Physical	80	100	15	May lower opponent's Defense.
Curse	GHOST	Status	-	-	10	"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed."
Destiny Bond	GHOST	Status	-	-	5	"If the user faints, the opponent also faints."
Detect	FIGHTING	Status	-	-	5	"Opponent's attack doesn't affect you, but may fail if used often."
Dragon Breath	DRAGON	Special	60	100	20	May paralyze opponent.
Dynamic Punch	FIGHTING	Physical	100	50	5	Confuses opponent.
Encore	NORMAL	Status	-	100	5	Forces opponent to keep using its last move for 3 turns.
Endure	NORMAL	Status	-	-	10	"Always left with at least 1 HP, but may fail if used consecutively."
Extreme Speed	NORMAL	Physical	80	100	5	User attacks first.
False Swipe	NORMAL	Physical	40	100	40	Always leaves opponent with at least 1 HP.
Feint Attack	DARK	Physical	60	-	20	Ignores Accuracy and Evasiveness.
Flail	NORMAL	Physical	-	100	15	"The lower the user's HP, the higher the power."
Flame Wheel	FIRE	Physical	60	100	25	May burn opponent.
Foresight	NORMAL	Status	-	-	40	"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal."
Frustration	NORMAL	Physical	-	100	20	Power decreases with higher Happiness.
Fury Cutter	BUG	Physical	40	95	20	Power increases each turn.
Future Sight	PSYCHIC	Special	120	100	10	Damage occurs 2 turns later.
Giga Drain	GRASS	Special	75	100	10	User recovers half the HP inflicted on opponent.
Heal Bell	NORMAL	Status	-	-	5	Heals the user's party's status conditions.
Hidden Power	NORMAL	Special	60	100	15	Type and power depends on user's IVs.
Icy Wind	ICE	Special	55	95	15	Lowers opponent's Speed.
Iron Tail	STEEL	Physical	100	75	15	May lower opponent's Defense.
Lock-On	NORMAL	Status	-	-	5	User's next attack is guaranteed to hit.
Mach Punch	FIGHTING	Physical	40	100	30	User attacks first.
Magnitude	GROUND	Physical	-	100	30	Hits with random power.
Mean Look	NORMAL	Status	-	-	5	Opponent cannot flee or switch.
Megahorn	BUG	Physical	120	85	10	
Metal Claw	STEEL	Physical	50	95	35	May raise user's Attack.
Milk Drink	NORMAL	Status	-	-	10	User recovers half its max HP.
Mind Reader	NORMAL	Status	-	-	5	User's next attack is guaranteed to hit.
Mirror Coat	PSYCHIC	Special	-	100	20	"When hit by a Special Attack, user strikes back with 2x power."
Moonlight	FAIRY	Status	-	-	5	User recovers HP. Amount varies with the weather.
Morning Sun	NORMAL	Status	-	-	5	User recovers HP. Amount varies with the weather.
Mud-Slap	GROUND	Special	20	100	10	Lowers opponent's Accuracy.
Nightmare	GHOST	Status	-	100	15	The sleeping opponent loses 25% of its max HP each turn.
Octazooka	WATER	Special	65	85	10	May lower opponent's Accuracy.
Outrage	DRAGON	Physical	120	100	10	User attacks for 2-3 turns but then becomes confused.
Pain Split	NORMAL	Status	-	-	20	The user's and opponent's HP becomes the average of both.
Perish Song	NORMAL	Status	-	-	5	Any Pokemon in play when this attack is used faints in 3 turns.
Powder Snow	ICE	Special	40	100	25	May freeze opponent.
Present	NORMAL	Physical	-	90	15	Either deals damage or heals.
Protect	NORMAL	Status	-	-	10	User is not affected by opponent's move.
Psych Up	NORMAL	Status	-	-	10	Copies the opponent's stat changes.
Pursuit	DARK	Physical	40	100	20	Double power if the opponent is switching out.
Rain Dance	WATER	Status	-	-	5	Makes it rain for 5 turns.
Rapid Spin	NORMAL	Physical	20	100	40	Removes effects of trap moves.
Return	NORMAL	Physical	-	100	20	Power increases with user's Happiness.
Reversal	FIGHTING	Physical	-	100	15	"The lower the user's HP, the higher the power."
Rock Smash	FIGHTING	Physical	40	100	15	May lower opponent's Defense.
Rollout	ROCK	Physical	30	90	20	Doubles in power each turn for 5 turns.
Sacred Fire	FIRE	Physical	100	95	5	May burn opponent.
Safeguard	NORMAL	Status	-	-	25	The user's party is protected from status conditions.
Sandstorm	ROCK	Status	-	-	10	Creates a sandstorm for 5 turns.
Scary Face	NORMAL	Status	-	100	10	Sharply lowers opponent's Speed.
Shadow Ball	GHOST	Special	80	100	15	May lower opponent's Special Defense.
Sketch	NORMAL	Status	-	-	1	Permanently copies the opponent's last move.
Sleep Talk	NORMAL	Status	-	-	10	User performs one of its own moves while sleeping.
Sludge Bomb	POISON	Special	90	100	10	May poison opponent.
Snore	NORMAL	Special	50	100	15	Can only be used if asleep. May cause flinching.
Spark	ELECTRIC	Physical	65	100	20	May paralyze opponent.
Spider Web	BUG	Status	-	-	10	Opponent cannot escape/switch.
Spikes	GROUND	Status	-	-	20	Hurts opponents when they switch into battle.
Spite	GHOST	Status	-	100	10	The opponent's last move loses 2-5 PP.
Steel Wing	STEEL	Physical	70	90	25	May raise user's Defense.
Sunny Day	FIRE	Status	-	-	5	Makes it sunny for 5 turns.
Swagger	NORMAL	Status	-	85	15	"Opponent becomes confused, but its Attack is sharply raised."
Sweet Kiss	FAIRY	Status	-	75	10	Confuses opponent.
Sweet Scent	NORMAL	Status	-	-	20	Lowers opponent's Evasiveness.
Synthesis	GRASS	Status	-	-	5	User recovers HP. Amount varies with the weather.
Thief	DARK	Physical	60	100	25	Also steals opponent's held item.
Triple Kick	FIGHTING	Physical	10	90	10	Hits thrice in one turn at increasing power.
Twister	DRAGON	Special	40	100	20	May cause flinching. Hits Pokemon using Fly/Bounce with double power.
Vital Throw	FIGHTING	Physical	70	-	10	"User attacks last, but ignores Accuracy and Evasiveness."
Whirlpool	WATER	Special	35	85	15	"Traps opponent, damaging them for 4-5 turns."
Zap Cannon	ELECTRIC	Special	120	50	5	Paralyzes opponent.
